"Latin","gx","gy"
"Asimina triloba",18.5,621.5
"Asimina triloba",17,623.8
"Asimina triloba",16.8,624.4
"Asimina triloba",18.5,626.4
"Asimina triloba",18.6,627
"Asimina triloba",18.8,628.8
"Asimina triloba",18.9,630
"Asimina triloba",18.3,629
"Asimina triloba",16.9,627.7
"Asimina triloba",16,629.2
"Asimina triloba",15.3,628.4
"Asimina triloba",14.8,626.9
"Asimina triloba",14.1,628.2
"Asimina triloba",13.3,628.2
"Asimina triloba",11.8,628.4
"Asimina triloba",11.1,628
"Asimina triloba",14.5,625.8
"Asimina triloba",14.9,625.2
"Asimina triloba",14.7,624.8
"Asimina triloba",13.8,625
"Asimina triloba",11,625.8
"Asimina triloba",10.1,624.9
"Asimina triloba",12.3,624.2
"Asimina triloba",13.3,623.3
"Asimina triloba",11.3,622.4
"Asimina triloba",12.5,631.5
"Asimina triloba",12.5,631.4
"Asimina triloba",13.4,631.4
"Asimina triloba",14.1,630.7
"Asimina triloba",14.9,632
"Asimina triloba",15.8,630.9
"Asimina triloba",15.6,632.3
"Asimina triloba",16.6,631.7
"Asimina triloba",16.1,630.4
"Asimina triloba",17.2,631.1
"Asimina triloba",16.9,632.3
"Asimina triloba",18.8,631.7
"Asimina triloba",19.1,632.9
"Asimina triloba",19.6,630.8
"Asimina triloba",20,631
"Asimina triloba",18.1,634.2
"Asimina triloba",16.4,634.7
"Asimina triloba",12.7,635.6
"Asimina triloba",10.3,634.1
"Asimina triloba",11.1,633.6
"Asimina triloba",12.1,633
"Asimina triloba",19.9,631
"Asimina triloba",9.2,630.4
"Asimina triloba",10.3,630.4
"Asimina triloba",9,631.3
"Asimina triloba",9.4,633.5
"Asimina triloba",7.2,635.4
"Asimina triloba",8.2,636.1
"Asimina triloba",9,636.1
"Asimina triloba",8.7,637.1
"Asimina triloba",9.4,639.4
"Asimina triloba",8.8,638.7
"Asimina triloba",7.4,638.1
"Asimina triloba",6.9,638.3
"Asimina triloba",6.1,637.7
"Asimina triloba",6.2,635.2
"Asimina triloba",5.4,637.4
"Asimina triloba",3.6,638.3
"Asimina triloba",21.4,51.8
"Asimina triloba",21.4,53.4
"Asimina triloba",21.3,54
"Asimina triloba",38.8,225.6
"Asimina triloba",39.2,238.6
"Asimina triloba",40,239.1
"Asimina triloba",36.6,238.7
"Asimina triloba",35.6,239.9
"Asimina triloba",35.1,240.6
"Asimina triloba",35.4,240.7
"Asimina triloba",38.5,240.6
"Asimina triloba",39.7,240.4
"Asimina triloba",38.8,243.2
"Asimina triloba",38,242.7
"Asimina triloba",39.2,440.2
"Asimina triloba",37.7,443
"Asimina triloba",38.3,443
"Asimina triloba",37.6,444.7
"Asimina triloba",38,444.7
