"Latin","gx","gy"
"Fagus sylvatica",4390937.45,5661599.47
"Fagus sylvatica",4390939.27,5661599.02
"Fagus sylvatica",4390942.08,5661599.04
"Fagus sylvatica",4390947.38,5661599.47
"Fagus sylvatica",4390948.08,5661594.74
"Fagus sylvatica",4390943.75,5661590.9
"Fagus sylvatica",4390938.53,5661593.08
"Fagus sylvatica",4390936.48,5661594.73
"Carpinus betulus",4390934.23,5661589.95
"Fagus sylvatica",4390934.3,5661579.04
"Fagus sylvatica",4390941.44,5661584.87
"Fagus sylvatica",4390949.57,5661577.54
"Fagus sylvatica",4390946.29,5661571.28
"Fagus sylvatica",4390944.85,5661571.6
"Fagus sylvatica",4390948.2,5661566.83
"Fagus sylvatica",4390943.56,5661575.12
"Fagus sylvatica",4390941.29,5661573.79
"Fagus sylvatica",4390934.7,5661568.76
"Fraxinus excelsior",4390933.75,5661565.86
"Fagus sylvatica",4390929.94,5661562.98
"Fagus sylvatica",4390930.29,5661558.57
"Fagus sylvatica",4390932.6,5661558.9
"Fagus sylvatica",4390933.02,5661555.35
"Fagus sylvatica",4390933.49,5661554.06
"Fagus sylvatica",4390938.19,5661551.7
"Fagus sylvatica",4390937.49,5661556.13
"Fagus sylvatica",4390942.46,5661560.8
"Fagus sylvatica",4390945.09,5661562.93
"Fagus sylvatica",4390947.48,5661560.41
"Fagus sylvatica",4390948.56,5661556.61
"Fagus sylvatica",4390948.64,5661554.39
"Fagus sylvatica",4390944.92,5661553.61
"Fagus sylvatica",4390906.68,5661600.05
"Fraxinus excelsior",4390909.03,5661602.12
"Fagus sylvatica",4390908.61,5661605.11
"Fraxinus excelsior",4390912.72,5661604.63
"Fagus sylvatica",4390910.02,5661609.06
"Fagus sylvatica",4390915,5661608.52
"Fagus sylvatica",4390913.91,5661610.52
"Fagus sylvatica",4390914.06,5661613.39
"Fraxinus excelsior",4390912.19,5661623.02
"Fagus sylvatica",4390913.29,5661625.64
"Fraxinus excelsior",4390917.3,5661619.56
"Fagus sylvatica",4390919.76,5661620.9
"Fagus sylvatica",4390919.12,5661623.69
"Fagus sylvatica",4390920.93,5661625.57
"Fagus sylvatica",4390920.25,5661626.77
"Fagus sylvatica",4390918.15,5661626.71
"Carpinus betulus",4390922.3,5661639.81
"Fagus sylvatica",4390923.46,5661640.34
"Fagus sylvatica",4390924.38,5661648.7
"Fagus sylvatica",4390925.89,5661648.82
"Fagus sylvatica",4390928.43,5661638.29
"Acer pseudoplatanus",4390930.63,5661635.03
"Fagus sylvatica",4390929.2,5661634.94
"Fagus sylvatica",4390929.54,5661631.19
"Acer pseudoplatanus",4390927.88,5661624.07
"Fagus sylvatica",4390927.35,5661627.42
"Fagus sylvatica",4390926.21,5661620.4
"Fagus sylvatica",4390926.7,5661617.6
"Acer platanoides",4390929.78,5661620.72
"Fagus sylvatica",4390928.01,5661613.48
"Fagus sylvatica",4390930.57,5661614.59
"Fraxinus excelsior",4390920.66,5661601.59
"Fagus sylvatica",4390918.94,5661603.78
"Fagus sylvatica",4390917.43,5661602.2
"Fraxinus excelsior",4390916.45,5661604.41
"Fagus sylvatica",4390925.43,5661602.54
"Fagus sylvatica",4390928.44,5661609.42
"Fagus sylvatica",4390935.17,5661604.17
"Fagus sylvatica",4390940.54,5661600.41
"Fagus sylvatica",4390940.13,5661602.91
"Fagus sylvatica",4390938.42,5661602.84
"Fagus sylvatica",4390940.87,5661605.51
"Fagus sylvatica",4390935.93,5661608.86
"Fagus sylvatica",4390934.34,5661610.56
